experiment_id,timestamp,seed,path_length,num_searchers,time_budget,sample_ratio,heterogeneous_terrain,key_position,success,key_found_by,total_time_used,sampling_time,execution_time,time_remaining,cells_searched,coverage_rate,time_efficiency,search_efficiency,selected_strategy,selection_confidence
mas_full_study_0100,2026-01-28T10:10:39.565329,1049,50,3,30.0,0.05,True,2,True,0,7.455390037258333,1.5,28.5,22.544609962741667,7,0.14,0.7514869987580556,0.24561403508771928,greedy_nearest,1.0
mas_full_study_0101,2026-01-28T10:10:39.566361,1000,50,3,30.0,0.1,True,24,True,1,14.389789929771224,3.0,27.0,15.610210070228776,26,0.52,0.5203403356742925,0.9629629629629629,greedy_nearest,1.0
mas_full_study_0102,2026-01-28T10:10:39.567358,1001,50,3,30.0,0.1,True,4,True,2,13.003212678410364,3.0,27.0,16.996787321589636,12,0.24,0.5665595773863212,0.4444444444444444,greedy_nearest,1.0
mas_full_study_0103,2026-01-28T10:10:39.569397,1002,50,3,30.0,0.1,True,45,False,,23.917311932994963,3.0,27.0,6.082688067005037,50,1.0,0.0,1.8518518518518519,greedy_nearest,1.0
mas_full_study_0104,2026-01-28T10:10:39.569397,1003,50,3,30.0,0.1,True,9,True,0,18.182316773256144,3.0,27.0,11.817683226743856,19,0.38,0.3939227742247952,0.7037037037037037,greedy_nearest,1.0
mas_full_study_0105,2026-01-28T10:10:39.570422,1004,50,3,30.0,0.1,True,35,True,1,29.899728636908936,3.0,27.0,0.1002713630910641,38,0.76,0.0033423787697021367,1.4074074074074074,greedy_nearest,1.0
mas_full_study_0106,2026-01-28T10:10:39.571397,1005,50,3,30.0,0.1,True,7,True,0,16.863874072214877,3.0,27.0,13.136125927785123,16,0.32,0.4378708642595041,0.5925925925925926,greedy_nearest,1.0
mas_full_study_0107,2026-01-28T10:10:39.573795,1006,50,3,30.0,0.1,True,34,True,2,20.254996788461792,3.0,27.0,9.745003211538208,48,0.96,0.32483344038460693,1.7777777777777777,greedy_nearest,1.0
mas_full_study_0108,2026-01-28T10:10:39.574306,1007,50,3,30.0,0.1,True,14,True,2,16.229498061806236,3.0,27.0,13.770501938193764,27,0.54,0.4590167312731255,1.0,greedy_nearest,1.0
mas_full_study_0109,2026-01-28T10:10:39.575974,1008,50,3,30.0,0.1,True,28,False,,22.643635396250364,3.0,27.0,7.356364603749636,50,1.0,0.0,1.8518518518518519,greedy_nearest,1.0
mas_full_study_0110,2026-01-28T10:10:39.576564,1009,50,3,30.0,0.1,True,11,True,0,17.28169737557575,3.0,27.0,12.71830262442425,22,0.44,0.42394342081414166,0.8148148148148148,greedy_nearest,1.0
mas_full_study_0111,2026-01-28T10:10:39.577120,1010,50,3,30.0,0.1,True,25,True,1,16.741818892386934,3.0,27.0,13.258181107613066,29,0.58,0.44193937025376884,1.0740740740740742,greedy_nearest,1.0
mas_full_study_0112,2026-01-28T10:10:39.579145,1011,50,3,30.0,0.1,True,11,False,,22.58808477043115,3.0,27.0,7.4119152295688515,50,1.0,0.0,1.8518518518518519,greedy_nearest,1.0
mas_full_study_0113,2026-01-28T10:10:39.579145,1012,50,3,30.0,0.1,True,49,True,2,9.094714358493865,3.0,27.0,20.905285641506133,3,0.06,0.6968428547168711,0.1111111111111111,greedy_nearest,1.0
mas_full_study_0114,2026-01-28T10:10:39.580258,1013,50,3,30.0,0.1,True,40,True,2,14.553245806838168,3.0,27.0,15.446754193161832,30,0.6,0.5148918064387277,1.1111111111111112,greedy_nearest,1.0
mas_full_study_0115,2026-01-28T10:10:39.582308,1014,50,3,30.0,0.1,True,22,False,,24.417112207675874,3.0,27.0,5.582887792324126,50,1.0,0.0,1.8518518518518519,greedy_nearest,1.0
mas_full_study_0116,2026-01-28T10:10:39.582308,1015,50,3,30.0,0.1,True,17,True,1,9.665776807115936,3.0,27.0,20.334223192884064,5,0.1,0.6778074397628021,0.18518518518518517,greedy_nearest,1.0
mas_full_study_0117,2026-01-28T10:10:39.583306,1016,50,3,30.0,0.1,True,10,True,2,17.571853992872555,3.0,27.0,12.428146007127445,21,0.42,0.41427153357091484,0.7777777777777778,greedy_nearest,1.0
mas_full_study_0118,2026-01-28T10:10:39.584323,1017,50,3,30.0,0.1,True,42,True,2,7.76075033952665,3.0,27.0,22.239249660473348,6,0.12,0.7413083220157782,0.2222222222222222,greedy_nearest,1.0
mas_full_study_0119,2026-01-28T10:10:39.585457,1018,50,3,30.0,0.1,True,35,True,0,27.19949334713707,3.0,27.0,2.8005066528629285,37,0.74,0.09335022176209762,1.3703703703703705,greedy_nearest,1.0
mas_full_study_0120,2026-01-28T10:10:39.586508,1019,50,3,30.0,0.1,True,35,True,2,20.88144444404858,3.0,27.0,9.11855555595142,36,0.72,0.30395185186504736,1.3333333333333333,greedy_nearest,1.0
mas_full_study_0121,2026-01-28T10:10:39.587740,1020,50,3,30.0,0.1,True,41,False,,30.423218907664314,3.0,27.0,0.0,41,0.82,0.0,1.5185185185185186,greedy_nearest,1.0
mas_full_study_0122,2026-01-28T10:10:39.587740,1021,50,3,30.0,0.1,True,0,True,0,0.3,3.0,27.0,29.7,1,0.02,0.99,0.037037037037037035,greedy_nearest,1.0
